No,SubNo,分類,スキルカテゴリ,サブカテゴリ,スキルレベル,チェック項目,VC,DS,必須スキル
61,7,データエンジニアリング,データ構造,テーブル定義,★★,業務特性や基幹システムの特徴をもとに、検索で頻繁に使用するデータのキー（顧客IDなど）を想定し、インデックスを作成・設定できる,＊,,
62,8,データエンジニアリング,データ構造,テーブル定義,★★,データ集計を高速化またはSQLを単純化するため、スタースキーマ、スノーフレークスキーマなどを用いたデータモデルを設計できる,,,
63,9,データエンジニアリング,データ構造,テーブル設計,★★,稼働中の複数のシステム間で発生するデータ項目の差異を、変換テーブルを活用して、埋めることができる,,,
64,10,データエンジニアリング,データ構造,テーブル設計,★★,DWHに入れる元データ（基幹DBのデータなど）のキーに変更があった場合に、サロゲートキーやナビゲーションブリッジテーブルを用いて対応できる,,,
65,11,データエンジニアリング,データ構造,テーブル設計,★★,非正規化テーブルや一時テーブルなどを作成し、アプリケーションの処理速度を高速化できる,,,
66,1,データエンジニアリング,データ蓄積,DWH,★,DWHアプライアンス（Oracle Exadata Database Machine、IBM Integrated Analytics Systemなど）に接続し、複数テーブルを結合したデータを抽出できる,,,
67,2,データエンジニアリング,データ蓄積,DWH,★★,DWHアプライアンス（Oracle Exadata Database Machine、IBM Integrated Analytics Systemなど）の機能と特徴を理解し、適切な管理対象データを選定できる,,,
68,3,データエンジニアリング,データ蓄積,分散技術,★,HadoopやSparkの分散技術の基本的な仕組みと構成を理解している,,,
69,4,データエンジニアリング,データ蓄積,分散技術,★,NoSQLデータストア（Cassandra、Mongo DB、CouchDB、Amazon DynamoDB、Azure Cosmos DB、Google Cloud Firestoreなど）にAPIを介してアクセスし、新規データを登録できる,,,
70,5,データエンジニアリング,データ蓄積,分散技術,★★,HadoopやSparkのメリット・デメリットを理解し、HadoopやSparkにて管理すべきデータを選定できる,,,
71,6,データエンジニアリング,データ蓄積,分散技術,★★,KVSの特性（集計・ソートが苦手、データの一貫性保証など）を理解し、KVSがデータストア要件を満たすかを判断できる,,,
72,7,データエンジニアリング,データ蓄積,分散技術,★★,HadoopやSparkの分散アーキテクチャを理解し、大容量データ処理の設計やパフォーマンスチューニングができる,,,
